"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"783293800869466119","","","2016-10-04 13:12:49 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JavaScript in 2016 – Just read this an ignore everything else for a bit: https://t.co/USKHPPAdNa @MozDevNet","","","","https://developer.mozilla.org/en-US/docs/Web/JavaScript"
"783093291726147585","","","2016-10-03 23:56:04 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @MyOwnVelouria: Good problems to have: had to restock on business cards b/c I gave so many away to aspiring queer game studies scholars…","783065885816655872","15696867","2016-10-03 22:07:10 +0000",""
"783038813664706560","","","2016-10-03 20:19:35 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @despens: People seem to be getting into linked data #ipres2016","782957362818740224","29070395","2016-10-03 14:55:56 +0000",""
"783014390903795712","","","2016-10-03 18:42:33 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","How to Send an Email in 1984 https://t.co/2v5ZCIdHnI via @motherboard","","","","http://motherboard.vice.com/read/how-to-send-an-email-in-1984"
"782975450578649088","","","2016-10-03 16:07:49 +0000","<a href=""http://giphy.com"" rel=""nofollow"">Giphy Share</a>","https://t.co/2iTmJ0EAgl Fixity checking #digitalpreservation https://t.co/6KP8ll7hle","","","","http://gph.is/2dUBHTq,https://twitter.com/ajamielittle/status/782975450578649088/photo/1"
"782955933332803584","","","2016-10-03 14:50:15 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @MattSingh_: #Colombia has just delivered one of the biggest polling fails of all time. Actual result: 

SI 49.76
NO 50.23

#ColombiaDec…","782718087799898113","37072353","2016-10-02 23:05:08 +0000","https://twitter.com/MattSingh_/status/782718087799898113/photo/1"
"782953588243005440","","","2016-10-03 14:40:56 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","papr - it's like tinder, but for academic preprints · Simply Statistics https://t.co/1B52wWCQve","","","","http://simplystatistics.org/2016/10/03/papr/"
"782953506865053696","","","2016-10-03 14:40:37 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @robincamille: (Screenshots and info from the promo site: https://t.co/QlraJuiFuk)","782951184847998976","222342668","2016-10-03 14:31:23 +0000","http://www.nintendo.com/nes-classic,http://www.nintendo.com/nes-classic"
"782950131003957248","","","2016-10-03 14:27:12 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","""The Diamond Rio PMP300: Can this classic 18-year-old MP3 player still cut it?""  https://t.co/gMDzT9uQkG","","","","http://arstechnica.com/gadgets/2016/10/diamond-rio-pmp300-mp3-player-today/"
"782732116035416064","","","2016-10-03 00:00:53 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Optimising and batch processing data https://t.co/pVklftpspM","","","","http://blog.viraptor.info/post/optimising-and-batch-processing-data"
"782688102078746625","","","2016-10-02 21:05:59 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @frnsys: slides from my #dhdjmiami talk today, ""Simulation &amp; Understanding"": https://t.co/P5BfO3XB8T https://t.co/LjKKDNWvnr","782307267244879872","354161158","2016-10-01 19:52:41 +0000","http://frnsys.com/talks/dhdj,https://twitter.com/frnsys/status/782307267244879872/photo/1,http://frnsys.com/talks/dhdj,https://twitter.com/frnsys/status/782307267244879872/photo/1"
"782687224429019136","","","2016-10-02 21:02:30 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @GamesBeat: @GaymerX founder Matt Conn says video games belong to everyone #gx4 https://t.co/jXzxle3Fn6","782566089288974336","20396481","2016-10-02 13:01:09 +0000","https://wp.me/p5hvhT-8Gtf,https://wp.me/p5hvhT-8Gtf"
"782686759545024512","","","2016-10-02 21:00:39 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @CantabileApp: Building a Windows 3 Emulator - Part 5 - EXE File Format.  

https://t.co/7tSWvT9yJ5

#Windows #Emulator https://t.co/GPX…","782489488316510209","2882859378","2016-10-02 07:56:46 +0000","https://medium.com/@CantabileApp/win3mu-part-5-windows-3-executable-files-c2affeec0e5#.6k6cwk30k,https://medium.com/@CantabileApp/win3mu-part-5-windows-3-executable-files-c2affeec0e5#.6k6cwk30k,https://twitter.com/CantabileApp/status/782489488316510209/photo/1"
"782663146901082112","","","2016-10-02 19:26:50 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Putting (my VB6) Windows Apps in the Windows 10 Store - Project Centennial - Scott Hanselman https://t.co/s32Wb9fSp6","","","","http://www.hanselman.com/blog/PuttingMyVB6WindowsAppsInTheWindows10StoreProjectCentennial.aspx"
"782392098104479744","","","2016-10-02 01:29:46 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Tor Users Might Soon Have a Way to Avoid Those Annoying CAPTCHAs https://t.co/FY6xgvdN3G via @motherboard","","","","http://motherboard.vice.com/read/tor-captchas"
"782363227107622913","782361876776693760","1685831","2016-10-01 23:35:03 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@ajamielittle there's a even a piano in the cabin.","","","",""
"782361876776693760","782361775626788866","1685831","2016-10-01 23:29:41 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@ajamielittle why doesn't he leave the cabin?","","","",""
"782361775626788866","","","2016-10-01 23:29:17 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","My partner is introducing me to the Evil Dead movies. I gave a pseudo-intellectual comparison of Evil Dead II and Bergman's Autumn Sonata.","","","",""
"782355668783157248","","","2016-10-01 23:05:01 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","What does it mean when code is “easy to reason about”? https://t.co/UU8fhBJFHK","","","","https://medium.freecodecamp.com/what-does-it-mean-when-code-is-easy-to-reason-about-4e6f63eb386f#.c0gvf2mn0"
"782336825599942656","","","2016-10-01 21:50:08 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Donald Trump's Real Estate Tycoon by @brutalmoose https://t.co/v8ZszdbhFF #octobersurprise","","","","https://youtu.be/Jff5I8vr92U"
